tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-02-20,11,31.5,566,16.9,,1.8,,0.011,9.8,94.9,,
2019-03-19,10,47.4,556,5.1,,0.8,,0.013,16,85.3,,
2019-03-19,10,51.9,530,10.3,,0.6,,0.018,14,43.9,,
2019-06-22,9,19.5,735,14.5,,0.6,,0.009,21,232.9,,
2019-06-22,9,34.3,1077,40.3,,0.7,,0.009,30,1135.2,,
2019-06-22,8,21,587,19,,1.2,,0.015,28,130.3,,
2019-06-22,8,15.3,978,22.3,,0.8,,0.013,30,237.6,,
2019-04-12,9,44.6,512,8.7,,0.9,,0.018,43,18.9,,
2019-04-12,9,41.1,488,10.3,,0.9,,0.02,19,10.4,,
2019-05-08,8,36.9,832,24.5,,0.5,,0.016,31,370.7,,
2019-05-08,9,33.5,601,35.9,,0.5,,0.013,21,97.5,,
2019-06-07,10,24.8,588,50.2,,1.3,,0.032,38.9,317.3,,
2019-06-07,10,27.3,524,53.1,,1.3,,0.031,45.7,227.2,,
2019-05-27,10,32,320,53,,1.8,,0.014,24.2,94.8,,
2019-05-27,11,30.4,303,47.1,,1.9,,0.018,20.8,61.7,,
2019-03-11,12,35.1,613,21.1,,1.2,,,,,,
2019-03-11,13,30.2,589,8.2,,1.2,,,,,,
2019-03-22,10,33.4,369,16,,0.1,,0.025,34.9,14.3,,
2019-03-22,10,29.7,559,20.1,,0.1,,0.016,48.6,12.6,,
2019-04-12,10,34.2,604,43,,1.3,,,,,,
2019-04-12,10,30.2,613,39.1,,1.6,,,,,,
2019-07-15,8,38,664,28,,0.8,,0.015,18,129.3,,
2019-07-15,8,44.3,665,46.4,,0.9,,0.016,12,225.1,,
2019-07-08,9,58.3,834,24.6,,0.6,,0.009,40,73.6,,
2019-07-08,11,60.2,806,30.5,,0.5,,0.01,51,63.3,,
2019-07-08,13,62.9,872,25.4,,0.5,,0.011,59,99.8,,
2019-07-08,14,56.2,863,25.5,,0.5,,0.01,37,102.6,,
2019-08-16,9,37,641,18.7,,1,,0.012,42,161.6,,
2019-08-16,11,40.3,639,20.8,,1.1,,0.013,36,188.1,,
