tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-04-10,9,28,386,1.7,,0.7,,,,,,
2019-04-10,9,17.9,372,1.3,,0.3,,,,,,
2019-04-10,9,24.9,375,1.6,,0.2,,,,,,
2019-04-11,9,36.9,405,4.3,,0.7,,,,,,
2019-04-11,9,38.1,403,4.7,,0.9,,,,,,
2019-04-11,9,41.7,395,3.1,,0.6,,,,,,
2019-03-12,9,36.8,410,5.5,,0.9,,0.044,17,73,,
2019-03-12,10,39.1,371,2.2,,0.7,,0.036,22,42.9,,
2019-04-17,9,43.5,406,7,,1.6,,,,,,
2019-04-17,9,57.3,380,7.8,,1.4,,,,,,
2019-04-18,9,46.1,427,5.4,,1.4,,,,,,
2019-04-18,9,62.4,434,5.6,,1.3,,,,,,
2019-03-13,10,55.5,423,2.6,,0.3,,0.027,19,32.4,,
2019-03-13,10,40.9,445,0.8,,0.4,,0.026,19,50.3,,
2019-04-12,9,35,401,3.2,,0.9,,,,,,
2019-04-12,9,36.9,384,3.5,,1,,,,,,
2019-04-12,9,47.9,378,3.5,,0.9,,,,,,
2019-03-14,10,50.3,381,3.6,,0.5,,0.036,9,28.5,,
2019-03-14,10,32.8,370,2,,0.4,,0.036,36,35.1,,
2019-04-16,9,37.5,430,15.7,,1,,,,,,
2019-04-16,9,43.2,392,17.1,,1,,,,,,
2019-04-16,9,54.8,368,11.7,,1,,,,,,
2019-03-13,9,48.4,411,0.8,,0.2,,0.036,17,24.3,,
2019-03-13,10,49.5,390,3.2,,0.1,,0.035,25,11.3,,
2019-03-14,9,49.9,418,2.7,,0.3,,0.03,33,20.7,,
2019-03-14,10,44.4,381,3,,0.2,,0.026,11,29.9,,
2019-04-15,9,39.5,438,3.8,,1,,,,,,
2019-04-15,9,58.2,408,3.6,,1.2,,,,,,
2019-04-15,9,40.7,391,7.9,,1.3,,,,,,
2019-04-15,9,59.6,406,4.4,,1.2,,,,,,
