tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-23,9,87.6,534,15.2,,2,,0.036,81.8,488.9,,
2019-05-23,9,100.7,558,25,,2,,0.035,32.8,487,,
2019-03-04,9,63.9,627,11.7,,11,,,,,,
2019-03-04,9,69.6,615,11.2,,10.1,,,,,,
2019-06-30,9,66.2,517,53.5,,1.4,,,,,,
2019-06-30,9,61.8,565,51,,1.5,,,,,,
2019-05-17,9,35.8,735,13.9,,9.6,,,,,,
2019-05-17,9,52.3,543,13.2,,9,,,,,,
2019-06-15,9,46,425,10.7,,0.8,,0.019,7.3,70.4,,
2019-06-15,9,40.5,476,6.8,,0.8,,0.031,8.4,81.6,,
2019-06-15,15,39.7,660,12.8,,1.2,,0.065,13.5,172.4,,
2019-06-15,15,37.1,544,10.2,,1,,0.054,8.7,74.8,,
2019-06-15,16,41.8,592,12.7,,1.6,,0.079,12.7,104.4,,
2019-06-15,16,37.1,539,15.7,,1.1,,0.058,12.4,104.6,,
2019-06-22,8,41.6,450,4.4,,0.8,,0.023,16.2,64.5,,
2019-06-22,8,38.1,562,9.5,,1,,0.041,13.3,63.9,,
2019-06-22,9,42.1,611,16.5,,1.4,,0.066,16.4,86.5,,
2019-06-22,9,50.6,694,24.9,,1.8,,0.093,21.4,106.4,,
2019-06-22,15,41.4,779,27.5,,4,,0.066,13.7,151.2,,
2019-06-22,15,36.2,548,18.3,,1.4,,0.042,11.4,75.5,,
2019-05-30,10,81,498,8.5,,2.1,,0.024,21,883.7,,
2019-05-30,10,78.5,548,28.9,,1.5,,0.023,68,263.3,,
2019-06-18,16,85.4,721,32.1,,2.4,,,,,,
2019-06-18,16,81.3,850,21.8,,2.6,,,,,,
2019-06-19,9,89,635,14.3,,3.2,,0.066,19.3,154.8,,
2019-06-19,9,75.9,637,12.7,,2.8,,0.068,9.4,174.2,,
2019-06-19,9,99.2,613,14.3,,2.9,,0.053,54.8,198.1,,
2019-06-19,9,93.5,599,43.7,,3.4,,0.072,11.9,187.9,,
2019-05-28,10,83.1,649,19.5,,2.2,,,,,,
2019-05-28,10,86.3,659,16.3,,2.5,,,,,,
2019-05-28,10,79.8,555,12.2,,1.6,,,,,,
2019-05-28,10,85.8,523,13.7,,1.9,,,,,,
2019-04-10,9,84.1,663,15.1,,1.9,,,,,,
2019-04-10,9,87.9,580,7.7,,1.6,,,,,,
2019-02-26,9,66.5,639,11.7,,3.5,,,,,,
2019-02-26,9,54.4,647,19.5,,5.9,,,,,,
2019-03-28,8,67.2,572,12.9,,2.9,,,,,,
2019-03-28,8,46.3,650,10.7,,4.1,,,,,,
2019-04-11,10,73.8,454,8.9,,4.6,,,,,,
2019-04-11,10,71.2,472,8.2,,5,,,,,,
2019-04-11,10,83.7,430,14.1,,4.8,,,,,,
2019-04-11,10,67.4,483,17.2,,5,,,,,,
2019-04-02,9,69.8,489,4.5,,3,,,,,,
2019-04-02,10,71.7,503,5.3,,3.6,,,,,,
2019-04-02,9,73,572,9.1,,4.3,,,,,,
2019-04-01,9,91,557,9.7,,2,,0.059,46.5,37.8,,
2019-04-01,9,87.8,528,11.9,,1.8,,0.054,22.6,66,,
2019-04-01,9,74.2,493,9.3,,1.5,,0.05,48.7,169.2,,
2019-04-01,9,97.2,461,16.2,,1.2,,0.046,42.8,61.3,,
2019-04-15,9,71.7,541,7.1,,2.4,,0.031,27,109.6,,
2019-04-15,9,78.7,504,5.5,,1.2,,0.019,48,79.6,,
2019-05-26,10,53.1,614,21.1,,1.6,,0.027,46.1,139.3,,
2019-05-26,10,44.6,566,17.1,,1.5,,0.031,55.7,111.4,,
2019-07-15,9,93,927,21.9,,2.2,,0.082,41.8,188.3,,
2019-07-15,9,91.3,992,18.3,,2.4,,0.125,58.8,425.5,,
2019-04-23,9,25.3,684,17.5,,5.9,,0.12,19.4,1143.6,,
2019-04-23,9,50.5,822,18,,5.8,,0.138,69.8,1038.7,,
2019-03-06,9,84.1,856,10.7,,1.5,,0.07,45.9,118.1,,
2019-03-06,9,89.4,451,15.1,,0.9,,0.068,19.8,241.6,,
2019-05-30,9,51.7,573,52.8,,4.3,,,,,,
2019-05-30,9,42.8,568,50.6,,3.7,,,,,,
2019-05-30,9,49.8,496,46.1,,1.5,,,,,,
2019-04-15,10,75.6,489,6.1,,1.5,,0.029,12,91.2,,
2019-04-15,10,77.7,506,5.4,,2.3,,0.031,15,103.3,,
2019-04-15,10,68.5,531,10.1,,2.4,,0.034,19,118.1,,
2019-04-12,10,128.4,568,21.4,,3.3,,,,,,
2019-04-12,10,75.5,476,14.8,,3.2,,,,,,
2019-05-27,9,87.8,597,16.3,,2.4,,,,,,
2019-05-27,9,77.5,573,14.2,,2.2,,,,,,
2019-04-12,8,109.8,605,11.7,,4.6,,0.051,56.2,131.8,,
2019-04-12,8,94.4,682,11.9,,2.4,,0.049,44.9,84.4,,
2019-04-18,9,65.8,551,6.8,,1.3,,0.02,11,254.9,,
2019-04-18,9,74.2,533,15.7,,1.3,,0.021,25,191.8,,
2019-04-19,9,81.4,695,14.6,,1.8,,0.022,22,367.5,,
2019-04-19,9,83.2,713,11.6,,2.1,,0.02,24,397.7,,
2019-09-24,13,20.6,661,12.2,,1.9,,,,,,
2019-10-31,10,57.5,852,22.3,,1.2,,,,,,
2019-09-24,13,14.7,704,15.4,,1.8,,,,,,
2019-05-03,9,84.6,852,18.3,,3.1,,0.017,15.1,178.7,,
2019-05-03,9,91.6,857,17.9,,2.8,,0.017,16.7,168.9,,
2019-06-03,9,90.3,763,22.9,,3,,,,,,
2019-06-03,9,79.1,702,22.6,,3.1,,,,,,
2019-06-03,9,92.1,696,27.1,,2.2,,,,,,
2019-06-03,9,99.5,675,26.3,,3.1,,,,,,
2019-07-03,10,74.7,658,17,,2.5,,0.026,32,154.9,,
2019-07-03,10,72.4,617,31.5,,2.1,,0.022,40,144.8,,
2019-06-18,9,79,573,24.9,,2.5,,,,,,
2019-06-18,9,76.7,782,26.6,,2.7,,,,,,
2019-09-23,11,70.3,762,14.2,,3.3,,,,,,
2019-09-23,10,73.4,721,9.9,,2.9,,,,,,
2019-07-19,8,118.1,484,25.2,,5.3,,,,,,
2019-07-19,8,121.9,460,32,,3.9,,,,,,
2019-07-19,8,116,494,27.6,,2.2,,,,,,
2019-05-21,10,51.4,786,42.6,,5.9,,,,,,
2019-05-21,10,53.3,858,49.7,,3.9,,,,,,
2019-06-24,8,46.7,650,20.6,,2,,,,,,
2019-06-24,8,37.4,646,12,,2.2,,,,,,
2019-04-03,9,68.2,690,9,,1.4,,,,,,
2019-04-03,9,75.4,709,7.7,,1.6,,,,,,
2019-04-16,9,59.5,507,7.6,,0.9,,0.019,10,72.5,,
2019-04-16,9,57.8,558,9.1,,1.2,,0.025,7,84.3,,
2019-05-31,9,76,599,17.7,,2.4,,0.014,21.6,688.7,,
2019-05-31,9,69.7,593,15,,2.7,,0.013,18.9,380.2,,
2019-07-18,9,82.2,583,39,,9.5,,,,,,
2019-07-18,9,51.4,695,41.1,,11.1,,,,,,
2019-07-18,9,89.5,463,12.4,,7.8,,,,,,
2019-07-18,9,65.9,648,45.8,,9,,,,,,
2019-04-08,10,78.2,703,8.9,,1.6,,,,,,
2019-04-08,10,79.6,695,6,,1.3,,,,,,
2019-05-20,9,98.9,590,12.9,,2.7,,0.12,23.8,69.5,,
2019-05-20,9,97,593,18.5,,3.4,,0.13,25.2,286.6,,
2019-06-24,8,35.6,634,16.7,,1.3,,0.031,40,123.3,,
2019-06-24,8,41.9,756,23.3,,1.9,,0.07,11,76.8,,
2019-06-26,9,96,627,23.4,,1.4,,0.025,24.2,241.4,,
2019-06-26,9,99.9,595,35.5,,1.3,,0.023,41.9,457,,
2019-06-28,10,12.7,805,16.8,,4.2,,,,,,
2019-06-28,10,11.5,937,16.9,,4.3,,,,,,
2019-05-23,10,93.5,659,35.1,,2.3,,0.043,31.7,932.5,,
