serno,tmfc,tmfc_d,ID,tmfc_h,pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
AMI242210004,2.0221E+13,20221013,165,2,6.9,4.8,4.6,36,23,164.57,1.2,0,1.1,0,556,0
AMI242210004,2.0221E+13,20221013,166,2,8.1,4.9,4.7,36.1,22.9,164.57,1.19,0,1.1,0,555,0
AMI242210004,2.0221E+13,20221013,167,2,8.1,4.9,4.7,36.2,22.9,164.57,1.19,0,1.1,0,555,0
AMI242210004,2.0221E+13,20221013,168,2,7.6,5.1,4.8,36.2,22.8,164.57,1.19,0,1.4,0,553,0
AMI242210004,2.0221E+13,20221013,169,2,6.7,4.9,4.7,36,22.9,164.57,1.19,0,1.4,0,552,0
AMI242210004,2.0221E+13,20221013,170,2,7.5,4.8,4.6,36,22.8,164.57,1.19,0,1.4,0,552,0
AMI242210004,2.0221E+13,20221013,171,2,7.6,4.8,4.6,36,22.9,164.57,1.18,0,1.4,0,552,0
AMI242210004,2.0221E+13,20221013,172,2,6.6,4.7,4.5,36.2,23,164.57,1.18,0,1.4,0,551,0
AMI242210004,2.0221E+13,20221013,173,2,6.6,4.8,4.6,36.2,22.9,164.58,1.18,0,1.4,0,550,0
AMI242210004,2.0221E+13,20221013,174,2,7.1,5,4.7,36.2,22.9,164.58,1.19,0,1.4,0,551,0
AMI242210004,2.0221E+13,20221013,175,2,7.1,5,4.7,36.1,22.9,164.57,1.18,0,1.4,0,551,0
AMI242210004,2.0221E+13,20221013,176,2,6.7,4.9,4.7,36,22.9,164.57,1.18,0,1.4,0,551,0
AMI242210004,2.0221E+13,20221013,177,2,7.4,5.2,4.9,36,22.9,164.56,1.18,0,1.4,0,551,0
AMI242210004,2.0221E+13,20221013,178,2,7.4,5,4.7,36.1,22.9,164.56,1.17,0,1.1,0,551,0
AMI242210004,2.0221E+13,20221013,179,2,7.3,5.2,4.9,36.2,22.9,164.56,1.17,0,1.1,0,551,0
AMI242210004,2.0221E+13,20221013,180,2,7.3,5.2,4.9,36,22.9,164.56,1.17,0,1.1,0,551,0
AMI242210004,2.0221E+13,20221013,181,3,7.2,5.1,4.8,36.1,22.8,164.56,1.17,0,1.1,0,550,0
AMI242210004,2.0221E+13,20221013,182,3,7.2,4.9,4.7,36.2,22.9,164.56,1.17,0,1.1,0,550,0
AMI242210004,2.0221E+13,20221013,183,3,8,4.7,4.5,36.2,22.9,164.56,1.17,0,1.1,0,549,0
AMI242210004,2.0221E+13,20221013,184,3,7,5.1,4.8,36.1,22.9,164.57,1.16,0,1.1,0,548,0
AMI242210004,2.0221E+13,20221013,185,3,7,5.1,4.8,36.1,22.7,164.57,1.16,0,1.1,0,548,0
AMI242210004,2.0221E+13,20221013,186,3,7,5.1,4.8,36.1,22.9,164.57,1.16,0,1.1,0,548,0
AMI242210004,2.0221E+13,20221013,187,3,7,5.1,4.8,36.1,22.8,164.58,1.16,0,1.1,0,548,0
AMI242210004,2.0221E+13,20221013,188,3,8.3,5.2,4.9,36,22.8,164.58,1.15,0,1.2,0,547,0
AMI242210004,2.0221E+13,20221013,189,3,8.3,5.2,4.9,36.1,22.9,164.57,1.15,0,1.2,0,547,0
