pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2
6,4.2,4,36.5,22.8,164.63,1.01,0,1.8,0,507
6.4,4.7,4.5,36.6,22.8,164.63,1,0,1.8,0,507
6.4,4.7,4.5,36.4,22.8,164.64,1.01,0,1.8,0,506
6.4,4.7,4.5,36.6,22.7,164.64,1.01,0,1.8,0,506
6.4,4.7,4.5,36.6,22.8,164.63,1,0,1.8,0,506
6.4,4.6,4.4,36.5,22.8,164.63,1,0,1.4,0,506
6.7,4.1,3.9,36.6,22.7,164.63,1,0,1.4,0,505
6.5,4.4,4.2,36.5,22.7,164.63,0.99,0,1.4,0,505
6.6,4.6,4.4,36.5,22.8,164.63,0.99,0,1.4,0,505
6.6,4.6,4.4,36.5,22.8,164.63,0.99,0,1.4,0,505
6.2,4.4,4.2,36.6,22.8,164.62,0.99,0,1.4,0,505
6.9,4.6,4.4,36.4,22.6,164.63,0.99,0,1.4,0,506
6.2,4,3.8,36.6,22.8,164.22,0.98,0,1.4,0,506
6.6,4.4,4.2,36.6,22.7,164.62,0.98,0,1.4,0,506
6.7,4.5,4.3,36.6,22.8,164.22,0.98,0,1.4,0,505
6,4.5,4.3,36.6,22.8,163.41,0.98,0,1.5,0,505
6.1,4.4,4.2,36.6,22.7,164.64,0.98,0,1.5,0,505
6.1,4.4,4.2,36.7,22.7,164.64,0.99,0,1.5,0,504
6.4,4.7,4.5,36.5,22.7,163.62,0.98,0,1.5,0,503
6.2,4.4,4.2,36.6,22.7,164.23,0.98,0,1.5,0,503
6.1,3.9,3.7,36.5,22.8,164.23,0.98,0,1.5,0,503
6.8,4.6,4.4,36.5,22.7,164.44,0.98,0,1.5,0,503
6.3,4.4,4.2,36.7,22.7,164.23,0.98,0,1.5,0,503
5.8,4.2,4,36.6,22.7,164.63,0.99,0,1.5,0,503
6.8,4.1,3.9,36.7,22.7,164.22,0.98,0,1.5,0,502
6.3,4.5,4.3,36.6,22.8,164.64,0.97,0,1.3,0,502
6.2,4.5,4.3,36.6,22.7,164.63,0.97,0,1.3,0,502
6.1,4.1,3.9,36.7,22.7,164.63,0.96,0,1.3,0,502
6.1,4.1,3.9,36.7,22.7,164.22,0.97,0,1.3,0,502
5.9,4.3,4.1,36.7,22.7,163.41,0.97,0,1.3,0,501
5.9,4.3,4.1,36.6,22.8,164.02,0.96,0,1.3,0,501
7.1,4.7,4.5,36.6,22.7,163.81,0.97,0,1.3,0,501
6.3,4.1,3.9,36.6,22.8,162.19,0.96,0,1.3,0,500
6.2,4.5,4.3,36.6,22.7,164.23,0.96,0,1.3,0,499
6.4,4.4,4.2,36.6,22.7,164.64,0.95,0,1.3,0,499
6,4.3,4.1,36.6,22.6,164.24,0.96,0,1.4,0,499
6.4,4.4,4.2,36.6,22.7,162.61,0.95,0,1.4,0,499
5.6,4.1,3.9,36.6,22.8,164.03,0.95,0,1.4,0,499
6.2,4.3,4.1,36.6,22.6,162.61,0.95,0,1.4,0,498
6.4,4.3,4.1,36.6,22.7,164.03,0.95,0,1.4,0,497
6.4,4.3,4.1,36.5,22.7,163.63,0.95,0,1.4,0,497
6,4.1,3.9,36.5,22.7,163.83,0.95,0,1.4,0,496
6.4,4.6,4.4,36.7,22.7,164.44,0.94,0,1.4,0,495
7.1,4.4,4.2,36.7,22.8,164.64,0.95,0,1.4,0,495
6.5,4.3,4.1,36.7,22.7,163.23,0.94,0,1.4,0,495
6.5,4.3,4.1,36.7,22.7,164.04,0.94,0,1.4,0,495
6.5,4.3,4.1,36.6,22.7,164.65,0.95,0,1.4,0,495
6.1,4.1,3.9,36.7,22.7,164.64,0.94,0,1.1,0,494
