tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
20190926,11,66.8,752,37.3,513,1.1,17.9,,,,,
20190926,11,59.3,665,36.1,550,0.4,16.4,,,,,
20190906,10,55.9,928,48.1,725,1.2,16,,,,,
20190906,11,53.9,648,36.1,635,1,12.1,,,,,
20190906,10,58.9,832,42.5,672,1,15.3,,,,,
20190906,10,65.6,728,38.6,740,1.3,19.1,,,,,
20190827,10,59,638,39.7,163,0.7,18.2,0.006,38.5,99.5,,203
20190827,10,53.5,749,47.2,248,1.6,15.1,0.012,27.2,44.9,,193
20191111,11,63.9,750,16,622,0.9,21.2,0.015,37.3,119.1,,239
20191111,11,58.6,953,39.9,694,1.4,19.3,0.015,43.6,386.9,,310
20190910,9,6,668,38.5,208,2.6,2.9,0.026,24.4,235.1,,322
20190910,9,6.6,585,34.1,244,2.6,3.2,0.018,20.2,178.4,,229
20191105,13,60.9,923,18.1,714,0.6,21.9,,,,,
20191105,13,59.3,921,18.1,637,0.7,22.8,,,,,
20190904,10,58.7,655,3,315,2.2,12.1,,,,,
20190904,10,51,611,6.9,416,2.8,21.4,,,,,
20191105,14,24.8,570,6.2,342,0.8,16.7,,,,,
20191105,14,23.3,610,11.6,690,0.5,13.2,,,,,
20190911,9,30.7,563,54.2,162,1.3,13.2,,,,,
20190911,10,33.6,573,63.6,195,1.3,17.1,,,,,
20191230,14,11,584,10,625,0.4,11.2,,,,,
20191230,14,12.6,622,8.1,289,0.5,5.4,,,,,
20191227,14,36.2,566,8.6,242.4,0.6,29.2,,,,,
20191227,14,36.6,626,11.3,315.7,0.4,29.9,,,,,
20191209,16,33.9,649,10.8,328,0.9,13,0.008,40.8,131.9,,124
20191209,16,19.5,653,9.1,452.9,0.7,12.8,0.01,37.8,69.1,,73.8
20191223,14,22,854,10.7,243,1.6,13,0.016,45,171.1,,163
20191223,14,28.8,676,6.5,181,1.2,18.1,0.019,37,90.7,,208
20191211,9,23.6,674,20.9,595,2.7,15.4,,,,,
20191211,9,26.6,860,26.8,636,2.3,18.8,,,,,
20190904,11,59.5,621,34.9,599,0.9,18,0.014,20,340.6,,348
20190904,11,64.7,978,58,720,0.5,23.8,0.01,63.2,207.2,,330
20191217,15,17.1,797,16.2,383,1.6,4.3,,,,,
20191217,15,20.9,795,15,414,1.5,6.3,,,,,
20191220,13,20.5,857,11.2,232,1,12,,,,,
20191220,13,31.6,771,10.4,145,1,17.7,,,,,
20191115,9,30.8,625,12.9,560,1.7,19.7,,,,,
20191115,9,25.3,711,10.3,585,2.1,18.7,,,,,
20191105,14,21.4,724,12.7,347,0.5,12.1,,,,,
